Chromosome,Start,End,cM,strand GRCm39,MGI ID,Feature Type,Symbol,Name
9,108437635,108442776,59.5,+,MGI:109367,protein coding gene,Impdh2,inosine monophosphate dehydrogenase 2
1,34574729,34583392,13.34,+,MGI:109448,protein coding gene,Cfc1,"cryptic, EGF-CFC family member 1"
19,46020009,46033653,38.75,-,MGI:894762,protein coding gene,Ldb1,LIM domain binding 1
16,21023530,21042054,12.62,+,MGI:104770,protein coding gene,Ephb3,Eph receptor B3
4,141028551,141056695,73.67,+,MGI:95278,protein coding gene,Epha2,Eph receptor A2
9,101799327,102231892,54.15,-,MGI:1096337,protein coding gene,Ephb1,Eph receptor B1
7,141047305,141051386,86.82,+,MGI:1096360,protein coding gene,Cd151,CD151 antigen
8,106662360,106665024,53.06,-,MGI:1096380,protein coding gene,Psmb10,"proteasome (prosome, macropain) subunit, beta type 10"
8,57774018,57777552,29.8,+,MGI:103580,protein coding gene,Hand2,heart and neural crest derivatives expressed 2
6,34453291,34482071,15.01,+,MGI:1098242,protein coding gene,Bpgm,"2,3-bisphosphoglycerate mutase"
4,138032049,138039930,70.13,+,MGI:1194508,protein coding gene,Ddost,dolichyl-di-phosphooligosaccharide-protein glycotransferase
X,99019212,99444366,43.59,+,MGI:1195272,protein coding gene,Eda,ectodysplasin-A
2,155661757,155668845,77.26,-,MGI:1196288,protein coding gene,Eif6,eukaryotic translation initiation factor 6
7,28092376,28098813,16.73,+,MGI:1923988,protein coding gene,Paf1,"Paf1, RNA polymerase II complex component"
15,88571237,88618436,44.17,-,MGI:1924161,protein coding gene,Brd1,bromodomain containing 1
6,127938359,128120541,62.73,-,MGI:1924558,protein coding gene,Tspan9,tetraspanin 9
6,113284098,113301821,52.75,+,MGI:1926033,protein coding gene,Brpf1,"bromodomain and PHD finger containing, 1"
7,143219546,143239609,88.28,-,MGI:1930269,protein coding gene,Tnfrsf23,"tumor necrosis factor receptor superfamily, member 23"
3,106020698,106039434,46.49,+,MGI:1932052,protein coding gene,Chia1,"chitinase, acidic 1"
7,24367437,24371475,12.13,-,MGI:1930791,protein coding gene,Tex101,testis expressed gene 101
6,41837241,41841347,20.06,+,MGI:1934254,protein coding gene,Sval2,seminal vesicle antigen-like 2
15,76963190,77191204,36.4,-,MGI:1933973,protein coding gene,Rbfox2,"RNA binding protein, fox-1 homolog (C. elegans) 2"
13,61182852,61188411,32.65,-,MGI:2137385,protein coding gene,Ctsq,cathepsin Q
9,110162356,110214017,59.91,+,MGI:2135958,protein coding gene,Scap,SREBF chaperone
1,23883927,23961398,9.79,-,MGI:2138261,protein coding gene,Smap1,small ArfGAP 1
14,21549284,21722546,11.73,+,MGI:1858746,protein coding gene,Kat6b,K(lysine) acetyltransferase 6B
6,34999000,35110646,15.2,-,MGI:1859026,protein coding gene,Cnot4,"CCR4-NOT transcription complex, subunit 4"
6,83621524,83633098,35.94,-,MGI:1859834,protein coding gene,Clec4f,"C-type lectin domain family 4, member f"
13,61500275,61506010,32.71,-,MGI:1860262,protein coding gene,Cts7,cathepsin 7
13,61394561,61403162,32.68,-,MGI:1860275,protein coding gene,Cts8,cathepsin 8
8,124679198,124709861,72.31,-,MGI:1860508,protein coding gene,Abcb10,"ATP-binding cassette, sub-family B member 10"
13,61307029,61312002,32.67,-,MGI:1861723,protein coding gene,Ctsr,cathepsin R
6,51836145,51989529,25.35,-,MGI:1889206,protein coding gene,Skap2,src family associated phosphoprotein 2
13,61342961,61351206,32.67,-,MGI:1889619,protein coding gene,Cts6,cathepsin 6
10,42057841,42152691,22.79,-,MGI:1890081,protein coding gene,Foxo3,forkhead box O3
1,171893580,171910356,79.54,-,MGI:1891700,protein coding gene,Ncstn,nicastrin
15,81350517,81360570,38.11,+,MGI:1891829,protein coding gene,Rbx1,ring-box 1
11,120944284,120954395,84.87,-,MGI:1929083,protein coding gene,Sectm1b,secreted and transmembrane 1B
17,21165716,21186167,11.4,+,MGI:1926334,protein coding gene,Ppp2r1a,"protein phosphatase 2, regulatory subunit A, alpha"
14,86892803,87378671,43.95,-,MGI:1927222,protein coding gene,Diaph3,diaphanous related formin 3
13,61683557,61689653,32.74,-,MGI:1927229,protein coding gene,Ctsm,cathepsin M
X,37278670,37285923,22.45,+,MGI:1927290,protein coding gene,Zbtb33,zinc finger and BTB domain containing 33
9,54771073,54819814,29.81,+,MGI:1928268,protein coding gene,Ireb2,iron responsive element binding protein 2
1,150325163,150341916,63.84,-,MGI:1891344,protein coding gene,Prg4,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)"
9,82711859,82729741,45.16,+,MGI:1929475,protein coding gene,Irak1bp1,interleukin-1 receptor-associated kinase 1 binding protein 1
16,42728008,43462981,28.44,+,MGI:1929213,protein coding gene,Zbtb20,zinc finger and BTB domain containing 20
12,16585670,16696967,7.9,-,MGI:1891340,protein coding gene,Lpin1,lipin 1
7,44742417,44753246,29.12,-,MGI:103017,protein coding gene,Fcgrt,Fc fragment of IgG receptor and transporter
18,36414150,36425588,19.46,+,MGI:103079,protein coding gene,Pura,purine rich element binding protein A
4,142994001,143026134,77.29,-,MGI:103098,protein coding gene,Pdpn,podoplanin
13,48816512,48819983,24.9,+,MGI:103124,protein coding gene,Barx1,BarH-like homeobox 1
5,137979783,137988495,76.92,+,MGI:103163,protein coding gene,Azgp1,"alpha-2-glycoprotein 1, zinc"
11,78079256,78083019,46.74,+,MGI:104606,protein coding gene,Rab34,"RAB34, member RAS oncogene family"
5,107254436,107437495,51.9,-,MGI:104637,protein coding gene,Tgfbr3,"transforming growth factor, beta receptor III"
11,18830428,18968992,11.11,-,MGI:104717,protein coding gene,Meis1,Meis homeobox 1
13,55770818,55780224,30.06,+,MGI:104728,protein coding gene,Caml,calcium modulating ligand
4,89224536,89229276,42.15,-,MGI:104737,protein coding gene,Cdkn2b,cyclin dependent kinase inhibitor 2B
9,37525117,37559554,20.79,+,MGI:104803,protein coding gene,Siae,sialic acid acetylesterase
13,44882950,45075119,21.66,+,MGI:104813,protein coding gene,Jarid2,jumonji and AT-rich interaction domain containing 2
4,129519871,129534858,63.26,-,MGI:105968,protein coding gene,Txlna,taxilin alpha
12,73146383,73160201,30.36,-,MGI:106034,protein coding gene,Six4,sine oculis-related homeobox 4
3,31149259,31176741,15.12,+,MGI:106203,protein coding gene,Skil,SKI-like
12,111005801,111082336,60.93,+,MGI:106340,protein coding gene,Rcor1,REST corepressor 1
1,143626528,143652794,62.54,-,MGI:106652,protein coding gene,Ro60,"Ro60, Y RNA binding protein"
7,127376561,127399294,69.73,+,MGI:2446244,protein coding gene,Setd1a,SET domain containing 1A
11,60721457,60749249,37.87,+,MGI:2384931,protein coding gene,Dhrs7b,dehydrogenase/reductase 7B
8,72943512,72954802,34.87,+,MGI:2676364,protein coding gene,Hsh2d,hematopoietic SH2 domain containing
2,162785392,162816442,83.88,+,MGI:2676663,protein coding gene,L3mbtl1,L3MBTL1 histone methyl-lysine binding protein
2,153187750,153245927,75.41,+,MGI:2684063,protein coding gene,Asxl1,ASXL transcriptional regulator 1
13,97061197,97087414,50.66,+,MGI:2684919,protein coding gene,Gcnt4,"glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)"
7,12737825,12743961,7.72,-,MGI:2685003,protein coding gene,Zbtb45,zinc finger and BTB domain containing 45
9,75348806,75373714,42.3,+,MGI:2685031,protein coding gene,Leo1,"Leo1, Paf1/RNA polymerase II complex component"
2,33296120,33321336,22.44,-,MGI:2685195,protein coding gene,Zbtb34,zinc finger and BTB domain containing 34
X,106299484,106340375,47.48,+,MGI:2685222,protein coding gene,Gpr174,G protein-coupled receptor 174
2,178072324,178129159,99.94,+,MGI:2685856,protein coding gene,Cdh26,cadherin-like 26
10,4317075,4338108,2.06,-,MGI:2685949,protein coding gene,Zbtb2,zinc finger and BTB domain containing 2
8,129942835,129960527,,-,MGI:1919389,protein coding gene,Zfp1006,zinc finger protein 1006
13,120226723,120252425,,-,MGI:1919715,protein coding gene,Zfp131,zinc finger protein 131
8,66070552,66924289,33.06,+,MGI:1920175,protein coding gene,Marchf1,membrane associated ring-CH-type finger 1
13,8853004,8921945,3.6,-,MGI:1920393,protein coding gene,Wdr37,WD repeat domain 37
7,17447163,17495057,9.15,+,MGI:1920500,protein coding gene,Ceacam5,CEA cell adhesion molecule 5
9,108456061,108474866,59.52,-,MGI:1921693,protein coding gene,P4htm,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)"
9,88838973,88844469,47.24,+,MGI:102687,protein coding gene,Bcl2a1a,B cell leukemia/lymphoma 2 related protein A1a
7,44626179,44635844,29.07,-,MGI:107846,protein coding gene,Prmt1,protein arginine N-methyltransferase 1
19,3634828,3736564,3.33,-,MGI:1278315,protein coding gene,Lrp5,low density lipoprotein receptor-related protein 5
11,70114954,70120624,42.99,-,MGI:1278332,protein coding gene,Bcl6b,"B cell CLL/lymphoma 6, member B"
11,119283926,119378244,83.48,+,MGI:1289196,protein coding gene,Rnf213,ring finger protein 213
12,40109768,40184227,18.06,-,MGI:1306794,protein coding gene,Scin,scinderin
11,69577076,69586675,42.86,-,MGI:1196259,protein coding gene,Tnfsf12,"tumor necrosis factor (ligand) superfamily, member 12"
15,54702297,54816284,21.6,-,MGI:1321390,protein coding gene,Enpp2,ectonucleotide pyrophosphatase/phosphodiesterase 2
15,66763337,66795050,29.3,+,MGI:1197008,protein coding gene,Ccn4,cellular communication network factor 4
2,151384403,151403611,74.83,+,MGI:95541,protein coding gene,Fkbp1a,FK506 binding protein 1a
11,70655273,70663754,43.21,+,MGI:99177,protein coding gene,Zfp3,zinc finger protein 3
12,76394556,76416376,33.73,-,MGI:99197,protein coding gene,Zbtb25,zinc finger and BTB domain containing 25
1,161608260,161616064,69.95,-,MGI:99255,protein coding gene,Fasl,Fas ligand
11,96708240,96720794,60.12,-,MGI:99421,protein coding gene,Nfe2l1,"nuclear factor, erythroid derived 2,-like 1"
16,20543204,20553261,12.51,-,MGI:101875,protein coding gene,Thpo,thrombopoietin
X,16751760,16778013,12.07,-,MGI:102570,protein coding gene,Ndp,Norrie disease (pseudoglioma) (human)
6,41824483,41828999,20.05,+,MGI:102696,protein coding gene,Pip,prolactin induced protein
12,73088601,73093486,30.34,-,MGI:102780,protein coding gene,Six1,sine oculis-related homeobox 1
6,42015328,42019785,20.28,+,MGI:102785,protein coding gene,Sva,seminal vesicle antigen
10,26150366,26251967,13.67,-,MGI:2143628,protein coding gene,L3mbtl3,L3MBTL3 histone methyl-lysine binding protein
11,60428509,60449338,37.81,+,MGI:2144489,protein coding gene,Alkbh5,"alkB homolog 5, RNA demethylase"
17,29020088,29057763,15.03,+,MGI:2146836,protein coding gene,Brpf3,"bromodomain and PHD finger containing, 3"
17,48606526,48619561,23.99,+,MGI:2147038,protein coding gene,Treml2,triggering receptor expressed on myeloid cells-like 2
10,80864374,80873169,39.72,-,MGI:2147269,protein coding gene,Slc39a3,"solute carrier family 39 (zinc transporter), member 3"
7,16937402,16949681,9.15,+,MGI:1891361,protein coding gene,Psg29,pregnancy-specific beta-1-glycoprotein 29
7,18290439,18301230,9.15,-,MGI:1891359,protein coding gene,Psg27,pregnancy-specific beta-1-glycoprotein 27
7,18208507,18218102,9.15,-,MGI:1891358,protein coding gene,Psg26,pregnancy-specific beta-1-glycoprotein 26
7,18253627,18266191,9.15,-,MGI:1891357,protein coding gene,Psg25,pregnancy-specific beta-1-glycoprotein 25
7,18156461,18165966,9.15,-,MGI:1891360,protein coding gene,Psg28,pregnancy-specific beta-1-glycoprotein 28
7,18408032,18420110,9.23,-,MGI:1891352,protein coding gene,Psg20,pregnancy-specific beta-1-glycoprotein 20
7,18380661,18390650,9.21,-,MGI:1891353,protein coding gene,Psg21,pregnancy-specific beta-1-glycoprotein 21
13,61712444,61717941,32.74,-,MGI:2151929,protein coding gene,Cts3,cathepsin 3
17,46739852,46742702,22.9,+,MGI:2152434,protein coding gene,Crip3,cysteine-rich protein 3
3,59022044,59060913,28.96,-,MGI:2155705,protein coding gene,P2ry14,"purinergic receptor P2Y, G-protein coupled, 14"
7,18340268,18350426,9.18,-,MGI:1891355,protein coding gene,Psg23,pregnancy-specific beta-1-glycoprotein 23
8,3990222,4004746,1.92,-,MGI:2157945,protein coding gene,Cd209c,CD209c antigen
8,3897973,3904286,1.92,-,MGI:2157948,protein coding gene,Cd209e,CD209e antigen
17,34138452,34148264,17.98,+,MGI:1201689,protein coding gene,Tapbp,TAP binding protein
10,22693162,22696042,10.33,-,MGI:1202715,protein coding gene,Tcf21,transcription factor 21
6,129462207,129484128,63.35,-,MGI:1261434,protein coding gene,Olr1,oxidized low density lipoprotein (lectin-like) receptor 1
19,5183714,5323138,4.25,-,MGI:1277113,protein coding gene,Pacs1,phosphofurin acidic cluster sorting protein 1
15,77644787,77726375,36.81,-,MGI:107717,protein coding gene,Myh9,"myosin, heavy polypeptide 9, non-muscle"
3,95406567,95416673,40.74,+,MGI:107823,protein coding gene,Ctsk,cathepsin K
5,41918826,41921563,22.58,-,MGI:108015,protein coding gene,Nkx3-2,NK3 homeobox 2
10,41326379,41341570,22.38,+,MGI:3039618,protein coding gene,Zbtb24,zinc finger and BTB domain containing 24
13,60929701,60934178,32.53,-,MGI:2682300,protein coding gene,BC051665,cDNA sequence BC051665
8,4663167,4680231,2.07,+,MGI:2385298,protein coding gene,Zfp958,zinc finger protein 958
11,82892984,82911636,50.3,-,MGI:2672859,protein coding gene,Slfn8,schlafen 8
5,143803530,143839535,82.67,+,MGI:1353448,protein coding gene,Eif2ak1,eukaryotic translation initiation factor 2 alpha kinase 1
12,32223472,32258658,13.74,-,MGI:1353576,protein coding gene,Pik3cg,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
12,112611262,112615586,61.2,+,MGI:1353606,protein coding gene,Siva1,"SIVA1, apoptosis-inducing factor"
16,76810594,76913668,44.4,+,MGI:1353655,protein coding gene,Usp25,ubiquitin specific peptidase 25
6,138634087,138635452,69.23,-,MGI:1354380,protein coding gene,Igbp1b,immunoglobulin (CD79A) binding protein 1b
7,63536099,63588663,34.58,-,MGI:1354948,protein coding gene,Klf13,Kruppel-like transcription factor 13
10,60017354,60055082,29.7,-,MGI:1858224,protein coding gene,Chst3,carbohydrate sulfotransferase 3
4,120397065,120427473,56.52,-,MGI:1858304,protein coding gene,Ctps1,cytidine 5'-triphosphate synthase 1
16,18399729,18409412,,-,MGI:98493,protein coding gene,Tbx1,T-box 1
4,47353222,47414926,26.02,+,MGI:98728,protein coding gene,Tgfbr1,"transforming growth factor, beta receptor I"
19,45139119,45145382,38.45,+,MGI:98769,protein coding gene,Tlx1,"T cell leukemia, homeobox 1"
7,87073979,87142637,49.01,-,MGI:98880,protein coding gene,Tyr,tyrosinase
11,78389946,78393151,46.74,+,MGI:98940,protein coding gene,Vtn,vitronectin
7,16884207,16898178,9.15,+,MGI:3646296,protein coding gene,Ceacam3,CEA cell adhesion molecule 3
7,17605692,17652935,9.15,+,MGI:3647191,protein coding gene,Ceacam23,CEA cell adhesion moleculen23
3,27371226,27393814,10.82,+,MGI:107414,protein coding gene,Tnfsf10,"tumor necrosis factor (ligand) superfamily, member 10"
13,60990426,61012230,32.53,-,MGI:1922258,protein coding gene,4930486L24Rik,RIKEN cDNA 4930486L24 gene
5,38347076,38377798,20.25,-,MGI:1922329,protein coding gene,Zbtb49,zinc finger and BTB domain containing 49
1,93731687,93749823,47.34,+,MGI:1922816,protein coding gene,Ing5,"inhibitor of growth family, member 5"
7,127773105,127822988,70,+,MGI:3578624,protein coding gene,Itgad,"integrin, alpha D"
14,32681504,32907465,19.44,-,MGI:3584510,protein coding gene,Wdfy4,WD repeat and FYVE domain containing 4
6,41945074,41950024,20.2,+,MGI:3047714,protein coding gene,Sval3,seminal vesicle antigen-like 3
6,70933590,70938050,32.14,+,MGI:3511278,protein coding gene,Foxi3,forkhead box I3
14,51193598,51202206,26.32,+,MGI:3712328,protein coding gene,Pnp2,purine-nucleoside phosphorylase 2
7,16405256,16409630,9.15,-,MGI:2141810,protein coding gene,Ceacam15,CEA cell adhesion molecule 15
11,57954508,57983977,35.63,-,MGI:3651124,protein coding gene,Faxdc2,fatty acid hydroxylase domain containing 2
2,103788340,103812223,54.46,+,MGI:102811,protein coding gene,Lmo2,LIM domain only 2
4,135702913,135714555,68.34,-,MGI:1913443,protein coding gene,Pithd1,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1
7,17706092,17712481,9.15,+,MGI:1914246,protein coding gene,Ceacam11,CEA cell adhesion molecule 11
2,172187485,172197669,94.83,+,MGI:1914267,protein coding gene,Fam210b,"family with sequence similarity 210, member B"
15,79411937,79430942,37.77,-,MGI:1914290,protein coding gene,Ddx17,DEAD box helicase 17
7,17546607,17549552,9.15,+,MGI:1914334,protein coding gene,Ceacam14,CEA cell adhesion molecule 14
18,36536732,36587548,19.46,-,MGI:1914449,protein coding gene,Pfdn1,prefoldin 1
6,116600977,116605960,53.83,-,MGI:1914505,protein coding gene,Zfp422,zinc finger protein 422
7,17799854,17811911,9.15,+,MGI:1914565,protein coding gene,Ceacam12,CEA cell adhesion molecule 12
6,54658609,54680836,27.07,+,MGI:1915485,protein coding gene,Mturn,"maturin, neural progenitor differentiation regulator homolog (Xenopus)"
11,68906737,68927299,42.29,+,MGI:1916214,protein coding gene,Ctc1,CTS telomere maintenance complex component 1
4,41291300,41314889,21.32,-,MGI:1916220,protein coding gene,Dcaf12,DDB1 and CUL4 associated factor 12
8,4152787,4155835,1.92,-,MGI:1916392,protein coding gene,Cd209f,CD209f antigen
8,3967655,3976841,1.92,-,MGI:1916415,protein coding gene,Cd209b,CD209b antigen
7,17743814,17753145,9.15,+,MGI:1917035,protein coding gene,Ceacam13,CEA cell adhesion molecule 13
4,124978927,125007031,58.03,+,MGI:1917338,protein coding gene,Meaf6,MYST/Esa1-associated factor 6
2,180546170,180562729,103.5,-,MGI:1917431,protein coding gene,Ythdf1,YTH N6-methyladenosine RNA binding protein 1
8,4184246,4187707,1.94,+,MGI:1917442,protein coding gene,Cd209g,CD209g antigen
13,60946064,60950658,32.53,-,MGI:1917452,protein coding gene,Ctsll3,cathepsin L-like 3
9,54624437,54641833,29.73,-,MGI:1917493,protein coding gene,Skic8,SKI8 subunit of superkiller complex
19,5118106,5120668,4.24,+,MGI:1917695,protein coding gene,Cd248,"CD248 antigen, endosialin"
7,80236375,80338625,45.65,-,MGI:1917711,protein coding gene,Crtc3,CREB regulated transcription coactivator 3
12,18564511,18585255,8.17,+,MGI:1917882,protein coding gene,5730507C01Rik,RIKEN cDNA 5730507C01 gene
3,102642086,102679626,45.25,+,MGI:1917997,protein coding gene,Tspan2,tetraspanin 2
6,41928564,41933032,20.18,+,MGI:1918828,protein coding gene,Sval1,seminal vesicle antigen-like 1
7,19699337,19725029,9.96,+,MGI:1918851,protein coding gene,Ceacam20,CEA cell adhesion molecule 20
14,25603937,25606060,,+,MGI:5825552,protein coding gene,Israa,immune system associated SCR family kinase partner
7,42354893,42376441,28.25,-,MGI:4937894,protein coding gene,Gm17067,predicted gene 17067
2,175311818,175322346,98.44,+,MGI:3779822,protein coding gene,Zfp965,zinc finger protein 965
5,34731008,34789652,17.9,+,MGI:87918,protein coding gene,Add1,adducin 1
8,125283326,125296445,72.81,-,MGI:87963,protein coding gene,Agt,angiotensinogen
13,30520424,30566850,13.19,+,MGI:87964,protein coding gene,Agtr1a,"angiotensin II receptor, type 1a"
3,20368637,20421341,6.37,-,MGI:87965,protein coding gene,Agtr1b,"angiotensin II receptor, type 1b"
X,21350863,21355072,16.71,+,MGI:87966,protein coding gene,Agtr2,"angiotensin II receptor, type 2"
9,106110654,106125153,57.46,-,MGI:87989,protein coding gene,Alas1,aminolevulinic acid synthase 1
X,149330443,149353614,68.46,+,MGI:87990,protein coding gene,Alas2,"aminolevulinic acid synthase 2, erythroid"
8,23464860,23640513,11.42,+,MGI:88024,protein coding gene,Ank1,"ankyrin 1, erythroid"
3,10269406,10273653,2.56,-,MGI:88038,protein coding gene,Fabp4,"fatty acid binding protein 4, adipocyte"
3,95341699,95404551,40.74,+,MGI:88071,protein coding gene,Arnt,aryl hydrocarbon receptor nuclear translocator
1,172099276,172125631,79.6,-,MGI:88106,protein coding gene,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide"
2,152622588,152673648,75.41,-,MGI:88139,protein coding gene,Bcl2l1,BCL2-like 1
2,109505045,109557352,56.63,+,MGI:88145,protein coding gene,Bdnf,brain derived neurotrophic factor
9,121318890,121324728,72.43,-,MGI:88297,protein coding gene,Cck,cholecystokinin
19,12741024,12742996,8.73,-,MGI:88439,protein coding gene,Cntf,ciliary neurotrophic factor
16,18225636,18245602,11.4,-,MGI:88470,protein coding gene,Comt,catechol-O-methyltransferase
3,19747565,19749560,5.75,-,MGI:88496,protein coding gene,Crh,corticotropin releasing hormone
13,95567884,95581339,49.5,-,MGI:88497,protein coding gene,Crhbp,corticotropin releasing hormone binding protein
1,120041010,120048808,52.65,-,MGI:94865,protein coding gene,Dbi,diazepam binding inhibitor
7,140871931,140874868,86.6,+,MGI:94926,protein coding gene,Drd4,dopamine receptor D4
11,16702203,16868158,9.41,+,MGI:95294,protein coding gene,Egfr,epidermal growth factor receptor
15,100572303,100585801,56.38,-,MGI:95314,protein coding gene,Cela1,"chymotrypsin-like elastase family, member 1"
7,19115942,19129619,9.62,+,MGI:95413,protein coding gene,Ercc2,"excision repair cross-complementing rodent repair deficiency, complementation group 2"
18,64589613,64622169,37.43,-,MGI:95513,protein coding gene,Fech,ferrochelatase
4,147953436,147954815,78.56,+,MGI:95595,protein coding gene,Fv1,Friend virus susceptibility 1
7,57057420,57159807,33.52,-,MGI:95617,protein coding gene,Gabra5,gamma-aminobutyric acid type A receptor subunit alpha 5
17,30811835,30831633,15.69,-,MGI:95742,protein coding gene,Glo1,glyoxalase 1
3,108000105,108008748,46.83,+,MGI:95779,protein coding gene,Gnat2,G protein subunit alpha transducin 2
10,80784463,80850742,39.72,-,MGI:95787,protein coding gene,Gng7,"guanine nucleotide binding protein (G protein), gamma 7"
10,48970929,49664862,24.87,-,MGI:95815,protein coding gene,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)"
6,135690231,136150509,66.38,-,MGI:95821,protein coding gene,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)"
2,121244383,121269168,60.38,+,MGI:95834,protein coding gene,Pdia3,protein disulfide isomerase associated 3
X,162296900,162332673,75.63,-,MGI:95836,protein coding gene,Grpr,gastrin releasing peptide receptor
11,32233672,32234486,18.86,+,MGI:96015,protein coding gene,Hba-a1,"hemoglobin alpha, adult chain 1"
11,32246489,32247298,18.87,+,MGI:96016,protein coding gene,Hba-a2,"hemoglobin alpha, adult chain 2"
11,32226600,32228116,18.86,+,MGI:96019,protein coding gene,Hba-x,"hemoglobin X, alpha-like embryonic chain in Hba complex"
7,,,54.85,,MGI:96021,protein coding gene,Hbb-b1,"hemoglobin, beta adult major chain"
5,16758493,16825150,7.07,+,MGI:96079,protein coding gene,Hgf,hepatocyte growth factor
11,96183647,96192395,59.82,+,MGI:96187,protein coding gene,Hoxb6,homeobox B6
14,30860970,30890598,19.09,-,MGI:2178742,protein coding gene,Stab1,stabilin 1
10,86677062,86843889,43.14,-,MGI:2178743,protein coding gene,Stab2,stabilin 2
8,19545113,19547791,10.35,+,MGI:2179200,protein coding gene,Defb7,defensin beta 7
8,22436778,22438866,10.68,+,MGI:2179203,protein coding gene,Defb13,defensin beta 13
6,83648197,83654839,35.94,-,MGI:2180021,protein coding gene,Cd207,CD207 antigen
X,74032151,74128511,38.12,-,MGI:2387324,protein coding gene,Gab3,growth factor receptor bound protein 2-associated protein 3
9,44022078,44024348,24.53,-,MGI:2388131,protein coding gene,Rnf26,ring finger protein 26
17,71559167,71618551,41.87,-,MGI:2389136,protein coding gene,Emilin2,elastin microfibril interfacer 2
14,34097461,34126244,20.81,+,MGI:2385618,protein coding gene,Mmrn2,multimerin 2
18,13140047,13155939,6.88,+,MGI:2429635,protein coding gene,Hrh4,histamine receptor H4
5,100701591,100720111,48.49,-,MGI:2445289,protein coding gene,Plac8,placenta-specific 8
11,121592370,121607132,86.89,+,MGI:2384806,protein coding gene,Metrnl,"meteorin, glial cell differentiation regulator-like"
1,93439826,93549698,47.24,+,MGI:2385126,protein coding gene,Farp2,"FERM, RhoGEF and pleckstrin domain protein 2"
7,16543192,16550657,9.15,-,MGI:2447586,protein coding gene,Fkrp,fukutin related protein
3,89344013,89358259,39.12,+,MGI:2441670,protein coding gene,Pbxip1,pre B cell leukemia transcription factor interacting protein 1
11,29772395,29775668,16.96,-,MGI:2441689,protein coding gene,Fem1al,fem-1 homolog A like
5,31046038,31064309,16.9,+,MGI:2441745,protein coding gene,Agbl5,ATP/GTP binding protein-like 5
3,27425500,27432159,10.86,+,MGI:2441906,protein coding gene,Ghsr,growth hormone secretagogue receptor
7,18946463,18958099,9.46,+,MGI:2441992,protein coding gene,Gpr4,G protein-coupled receptor 4
5,143450239,143490197,82.19,+,MGI:2442032,protein coding gene,Daglb,"diacylglycerol lipase, beta"
11,114873269,114880712,80.56,-,MGI:2442358,protein coding gene,Cd300ld,CD300 molecule like family member d
5,8472850,8504797,3.43,+,MGI:2442486,protein coding gene,Slc25a40,"solute carrier family 25, member 40"
2,68691785,68944626,39.53,+,MGI:2442564,protein coding gene,Cers6,ceramide synthase 6
16,,,,,MGI:2442797,protein coding gene,Cd200r1l,CD200 receptor 1 like
9,66750946,66826969,36.17,-,MGI:2442982,protein coding gene,Rab8b,"RAB8B, member RAS oncogene family"
8,86050933,86112969,41.61,-,MGI:2443063,protein coding gene,Mylk3,myosin light chain kinase 3
8,18645147,18853205,10.24,+,MGI:2443308,protein coding gene,Mcph1,"microcephaly, primary autosomal recessive 1"
9,118931546,118977314,71.32,+,MGI:2443671,protein coding gene,Dlec1,deleted in lung and esophageal cancer 1
13,95160962,95386844,49.22,-,MGI:2443999,protein coding gene,Pde8b,phosphodiesterase 8B
12,71062764,71145366,29.39,+,MGI:2444354,protein coding gene,Arid4a,AT-rich interaction domain 4A
12,87153635,87194742,41.3,-,MGI:2444430,protein coding gene,Pomt2,protein-O-mannosyltransferase 2
9,116401814,117701749,68.78,-,MGI:2444477,protein coding gene,Rbms3,"RNA binding motif, single stranded interacting protein"
8,88864483,88898655,43.06,+,MGI:2444491,protein coding gene,Heatr3,HEAT repeat containing 3
16,56298241,56510498,34.09,+,MGI:2444583,protein coding gene,Abi3bp,ABI family member 3 binding protein
11,82869216,82882656,50.3,-,MGI:2445121,protein coding gene,Slfn9,schlafen 9
8,84039261,84059115,39.72,-,MGI:2445165,protein coding gene,Elmod2,ELMO/CED-12 domain containing 2
9,78522828,78623535,43.65,+,MGI:2445221,protein coding gene,Cd109,CD109 antigen
14,4230569,4265642,7.08,+,MGI:2449205,protein coding gene,Nr1d2,"nuclear receptor subfamily 1, group D, member 2"
X,132987170,133038455,55.69,-,MGI:2450016,protein coding gene,Nox1,NADPH oxidase 1
2,122134012,122144255,60.62,-,MGI:2384861,protein coding gene,Duoxa1,dual oxidase maturation factor 1
16,20491457,20511633,12.49,+,MGI:2384784,protein coding gene,Eif4g1,"eukaryotic translation initiation factor 4, gamma 1"
8,19495785,19497622,10.35,-,MGI:2654206,protein coding gene,Defb8,defensin beta 8
3,138631663,138780962,64.52,-,MGI:2385189,protein coding gene,Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1"
10,42554912,42578458,22.89,+,MGI:2655574,protein coding gene,Ostm1,osteopetrosis associated transmembrane protein 1
11,69289334,69304501,42.6,-,MGI:2448492,protein coding gene,Kdm6b,KDM1 lysine (K)-specific demethylase 6B
